track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,popularity
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8,0.689321145269535,D,Major,-1.185936298157003,-1.3205306285950875,-0.022140857194135246,-0.9949471288954292,-0.19150181181757883,-0.4556471172097489,-0.7375789598704523,0
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,1.6832381922920223,C#,Major,-0.5728491396560152,-0.13440475674932897,0.7228875745755239,-0.8771244425788653,-0.19150181181757883,-0.6033365105138819,-0.541818858633084,2
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,0.050374472183650314,G#,Minor,0.7214459727349588,0.7975512854151957,0.22620195339575114,-0.9163986713510532,-0.0774394187933859,-0.5294918138618154,-0.6396989092517682,1
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,-1.0855307244134782,C#,Minor,1.607016312791941,-0.3462129481503573,0.4124590613381659,-0.6807532987179253,-0.19150181181757883,-0.6771812071659484,-0.24817870677703135,2
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,"2,703",22,"1,451",-0.23360182696563178,D,Major,0.9939291542909533,-0.4732978629909743,0.10203054810080794,0.49747356444771473,5.6256802324162605,0.504333939267116,-0.34605875739571557,1
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,"1,170",0.22785965915195164,A,Major,-0.30036595810002076,1.390614221338075,1.0954017904603535,1.7149746563855428,0.7209973323759646,-0.6771812071659484,-0.34605875739571557,0
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,-0.8725485000515165,G#,Major,0.24460040501196834,0.6704663705745787,-0.2704836677840216,-0.2880110109960453,-0.19150181181757883,-0.4556471172097489,-0.7375789598704523,1
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162,1.7542322670793429,C#,Minor,0.4489627911789642,1.0517211150964296,0.7228875745755239,-0.7985759850344893,-0.19150181181757883,-0.6033365105138819,-0.15029865615834714,0
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29,5,82,0.9732974444188172,D,Major,0.040238018844972426,-1.5747004582763215,0.7228875745755239,-0.8771244425788653,-0.19150181181757883,-0.6033365105138819,-0.6396989092517682,1
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10,0.47633892090757346,A,Minor,-0.3684867534890194,-1.3628922668752932,-0.7050835863163228,-0.6022048411735493,-0.19150181181757883,-0.898715297122148,-0.6396989092517682,2
