track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,popularity
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353.0,116,84,114,18,348,-0.9435425748388371,D,Major,-0.9134531166010085,-1.1087224371940592,0.5987161692805807,-0.48438215485698527,-0.19150181181757883,-0.6771812071659484,0.04546144507902125,1
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192.0,47,77,53,10,8,0.014877434789990053,G#,Major,0.24460040501196834,0.2892116260527277,0.3503733586906943,0.1440055054980227,-0.19150181181757883,1.0212468158315817,0.8285018500284949,1
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772.0,23,21,31,0,0,-1.1565247992007985,G#,Major,-0.3684867534890194,-1.8712319262377612,-0.14631226248907844,-0.7985759850344893,-0.19150181181757883,2.941208928785312,-0.4439388080143997,0
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314.0,41,69,38,0,36,-0.19810478957197153,F,Minor,0.31272120040096696,-0.26148967158994596,-0.3325693704314932,-0.48438215485698527,-0.19150181181757883,0.1351104560067834,1.0242619512658633,1
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613.0,8,78,4,1,1,0.3698478087265927,A,Minor,0.7214459727349588,1.644784051019309,1.2195731957552967,0.18327973427021071,-0.19150181181757883,-0.8248706004700815,-0.6396989092517682,0
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710.0,29,65,34,5,3,-0.9435425748388371,G#,Minor,0.4489627911789642,0.41629654089334467,1.157487493107825,-0.6022048411735493,-0.19150181181757883,1.2427809057877814,-0.4439388080143997,1
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651.0,10,72,8,3,14,0.9378004070251569,G#,Major,-0.09600357193302485,1.4329758596182807,-0.2704836677840216,0.5367477932199027,-0.19150181181757883,-0.3079577239056158,0.24122154631638965,1
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538.0,1,0,9,0,0,-0.4465840513275934,F#,Minor,-0.09600357193302485,-0.8121909692326196,-1.5121977207334536,2.146991172879611,-0.19150181181757883,-0.5294918138618154,-0.7375789598704523,0
Players,Coi Leray,1,2022,11,30,4096,6,335074782.0,118,48,143,0,240,-0.6240692382958947,F#,Major,1.8794994943479355,0.45865817917355034,-0.7671692889637944,-0.9163986713510532,-0.19150181181757883,-0.9725599937742146,0.5348616981724422,1
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396.0,8,96,5,0,56,-0.6240692382958947,C#,Major,0.857687563512956,0.75518964713499,0.8470589798704671,0.06545704795364671,-0.19150181181757883,-0.5294918138618154,0.33910159693507386,0
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667.0,23,82,6,0,113,0.40534484612025296,B,Major,0.5852043819569615,0.41629654089334467,-0.3946550730789648,-0.7985759850344893,-0.19150181181757883,-0.16026833060148274,-0.7375789598704523,0
Normal,Feid,1,2022,7,8,2461,36,459276435.0,47,66,45,5,6,1.6832381922920223,E,Minor,0.24460040501196834,0.3315732643329333,-0.518826478373908,-0.8771244425788653,-0.19150181181757883,0.6520233325712491,0.14334149569770546,1
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245.0,1,20,5,0,1,-1.475998135743741,F#,Major,-0.5728491396560152,-1.0663607989138537,-0.2704836677840216,0.7723931658530307,-0.0774394187933859,0.504333939267116,0.24122154631638965,0
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666.0,7,29,51,1,29,1.1152855939934583,F#,Major,-0.30036595810002076,1.009359476816224,1.7162588169350694,0.18327973427021071,-0.19150181181757883,5.378083918303507,-0.541818858633084,0
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131,16,29,1.647741154898362,C#,Major,0.10835881423397106,0.75518964713499,-0.8292549916112659,1.440055054980227,-0.19150181181757883,1.464314995743981,-0.6396989092517682,2
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742.0,215,88,330,26,23,-0.26909886435929203,G,Major,0.7214459727349588,0.5433814557339617,0.2882876560432227,-0.8771244425788653,-0.19150181181757883,-0.8248706004700815,0.33910159693507386,1
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779.0,6,14,8,2,4,-1.3695070235627602,A,Minor,-1.6627818658799933,-1.5747004582763215,0.5987161692805807,-0.9949471288954292,-0.19150181181757883,0.06126575935471686,-0.24817870677703135,0
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987.0,39,14,48,2,3,-1.050033687019818,G#,Major,0.7895667681239574,0.2892116260527277,-0.14631226248907844,-0.6022048411735493,-0.19150181181757883,-0.5294918138618154,1.2200220525032317,0
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040.0,29,26,43,5,44,-1.1210277618071383,G,Major,0.9939291542909533,-0.17676639502953465,-0.14631226248907844,-0.6414790699457373,-0.19150181181757883,-0.6033365105138819,0.43698164755375807,0
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833.0,58,70,43,0,182,0.689321145269535,A#,Minor,0.9939291542909533,0.11976507293190503,-1.2638549101435672,-0.7985759850344893,-0.19150181181757883,1.0950915124836482,-0.34605875739571557,1
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066.0,34,2,33,0,1,0.12136854697097084,C#,Major,0.7214459727349588,-1.3205306285950875,0.3503733586906943,-0.9949471288954292,-0.19150181181757883,-0.16026833060148274,-0.6396989092517682,0
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38,10,1,-0.9080455374451768,A#,Major,0.3808419957899656,-1.7441470113971442,-1.2638549101435672,-0.013091409590729287,-0.19150181181757883,-0.16026833060148274,-0.24817870677703135,1
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689.0,3,10,3,0,0,-0.7660573878705357,F,Major,1.6751371081809396,0.3315732643329333,-0.8292549916112659,0.5760220219920907,5.6256802324162605,0.5781786359191826,-0.24817870677703135,0
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43,6,2,-0.8725485000515165,G,Minor,0.857687563512956,-1.1934457137544705,-1.0155120995536808,-0.48438215485698527,-0.19150181181757883,-0.898715297122148,-0.541818858633084,2
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328.0,8,57,76,2,49,1.1152855939934583,F#,Major,-0.5728491396560152,0.501019817453756,1.5300017089926545,-0.3272852397682333,-0.19150181181757883,4.565792255130775,-0.15029865615834714,1
Cupido,Tini,1,2023,2,14,1240,24,217672943.0,51,29,63,4,54,-0.09161367739099073,A,Major,1.607016312791941,0.501019817453756,-0.3946550730789648,1.0080385384861588,-0.19150181181757883,0.9474021191795152,1.1221420018845474,1
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47,0,0,0.9732974444188172,B,Major,-1.2540570935460016,-1.9983168410783783,-0.5809121810213796,-0.7593017562623013,-0.19150181181757883,-0.898715297122148,-0.7375789598704523,1
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154,20,438,2.8191433888891506,A#,Major,-2.275869024380981,-1.1087224371940592,-0.8292549916112659,1.675700427613355,-0.19150181181757883,-0.012578937297349671,-0.6396989092517682,2
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020.0,84,84,42,0,23,1.079788556599798,B,Minor,-0.7772115258230112,-0.388574586430563,-0.7671692889637944,-0.8378502138066773,-0.19150181181757883,1.316625602439848,1.3179021031219158,1
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657,22,9,0.689321145269535,F,Major,-0.5047283442670166,-1.6170620965565272,-1.6984548286758683,1.2436839111192868,-0.19150181181757883,-0.3818024205576823,-0.7375789598704523,2
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339.0,7,2,30,1,11,-0.5175781261149139,A,Minor,1.1301707450689507,0.1621267112121107,-1.0775978022011523,-0.013091409590729287,-0.19150181181757883,0.1351104560067834,5.233104127869284,0
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653.0,3,3,6,0,0,0.7248181826631953,B,Major,1.062049949679952,-1.1087224371940592,0.2882876560432227,-0.8771244425788653,-0.19150181181757883,0.356644545962983,0.14334149569770546,0
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47,1,33,-0.5175781261149139,D,Major,-0.02788277654402621,0.1621267112121107,0.16411625074827954,1.3222323686636628,-0.19150181181757883,4.565792255130775,-0.541818858633084,0
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.0,81,53,"3,271",1,17,-0.659566275689555,F,Minor,1.8794994943479355,1.136444391656841,0.10203054810080794,-0.9163986713510532,-0.19150181181757883,-1.0464046904262811,-0.4439388080143997,2
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117.0,41,22,56,4,84,-1.050033687019818,F#,Minor,1.1301707450689507,1.898953880700543,0.9091446825179387,0.6545704795364667,-0.19150181181757883,-0.012578937297349671,0.04546144507902125,1
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54,-0.6240692382958947,F#,Minor,-0.16412436732202348,-0.2191280333097403,-0.7050835863163228,-0.40583369731260927,-0.19150181181757883,-0.6771812071659484,-0.541818858633084,1
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158,3,31,1.6832381922920223,G#,Major,-1.5946610704909947,-1.023999160633648,-2.008883341913226,2.461185003057115,-0.19150181181757883,-0.3079577239056158,-0.541818858633084,2
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624.0,9,13,11,0,1,1.9672144914413046,C#,Minor,-0.3684867534890194,0.20448834949231634,0.10203054810080794,-0.3272852397682333,-0.19150181181757883,-0.4556471172097489,-0.541818858633084,0
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27,0,50,1.896220416653984,F#,Minor,-1.185936298157003,-0.30385130987015163,0.7228875745755239,-0.6414790699457373,-0.19150181181757883,1.0212468158315817,-0.541818858633084,0
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115.0,14,110,9,0,49,-0.659566275689555,E,Minor,0.857687563512956,-0.5580211395513857,1.467916006345183,-0.6022048411735493,-0.19150181181757883,-0.5294918138618154,-0.541818858633084,0
Haegeum,Agust D,1,2023,4,21,244,12,118810253.0,6,84,10,2,9,-1.3340099861691,G,Major,0.17647960962296969,1.3482525830578693,1.2195731957552967,0.18327973427021071,-0.19150181181757883,2.12891726561258,1.905182406834021,0
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241.0,17,7,41,1,29,-0.19810478957197153,F#,Minor,0.6533251773459602,0.75518964713499,-0.3946550730789648,0.49747356444771473,-0.19150181181757883,0.5781786359191826,-0.541818858633084,0
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51,0,20,-0.8725485000515165,F,Major,-1.5946610704909947,-0.642744416111797,-1.450112018085982,0.9294900809417828,-0.19150181181757883,1.464314995743981,-0.541818858633084,0
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541.0,45,80,53,8,4,1.9672144914413046,C#,Minor,0.7895667681239574,0.2892116260527277,0.8470589798704671,0.3011024205867747,-0.19150181181757883,-0.5294918138618154,1.4157821537406001,1
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48,0,6,0.9023033696314966,A,Major,-1.1178155027680043,-1.023999160633648,-1.9467976392657547,0.8509416233974068,-0.19150181181757883,0.28279984931091645,-0.7375789598704523,1
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30,0,320,-0.09161367739099073,D,Major,0.6533251773459602,1.8142306041401317,0.10203054810080794,1.518603512524603,-0.19150181181757883,1.464314995743981,-0.7375789598704523,0
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7,0,55,-0.020619602603670212,E,Minor,0.040238018844972426,-0.5580211395513857,1.467916006345183,-0.9949471288954292,-0.19150181181757883,-0.751025903818015,-0.541818858633084,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6,0,0,0.7603152200568556,F,Major,0.4489627911789642,1.009359476816224,0.5366304666331091,0.6152962507642787,-0.19150181181757883,-0.6771812071659484,-0.6396989092517682,0
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075.0,8,14,12,2,33,-0.9435425748388371,D,Major,1.7432579035699383,-0.17676639502953465,-1.0775978022011523,0.2618281918145867,-0.19150181181757883,-0.6033365105138819,2.492462710546126,1
Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9,0,55,0.5118359583012337,G#,Major,0.6533251773459602,-0.6851060543920027,1.467916006345183,-0.40583369731260927,-0.19150181181757883,-0.0864236339494162,-0.15029865615834714,0
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915.0,21,4,13,0,4,-0.05611663999733047,F#,Minor,1.8113786989589369,0.8399129236954014,-0.20839796513655004,-0.5629306124013613,-0.19150181181757883,2.571985445524979,3.0797430142582316,1
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277.0,36,65,28,0,0,-0.127110714784651,A,Minor,-0.5047283442670166,-1.7441470113971442,-0.4567407757264364,-0.9949471288954292,-0.19150181181757883,2.3504513555687794,-0.7375789598704523,0
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5,-0.9435425748388371,D,Major,0.31272120040096696,-0.4732978629909743,-1.0775978022011523,1.754248885157731,-0.19150181181757883,-0.3818024205576823,-0.6396989092517682,1
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147,11,20,-0.4110870139339331,C#,Major,1.3345331312359465,0.07740343465169935,-0.7671692889637944,1.5578777412967908,-0.0774394187933859,-0.5294918138618154,-0.541818858633084,2
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946.0,0,0,0,0,0,0.9023033696314966,A,Major,1.5388955174029424,0.9669978385360183,0.22620195339575114,-0.48438215485698527,-0.19150181181757883,-0.6033365105138819,0.8285018500284949,0
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4,2,37,2.1092026410159455,A,Major,-0.7090907304340126,1.2211676682172523,-0.3325693704314932,-0.7200275274901133,-0.19150181181757883,-0.898715297122148,-0.541818858633084,0
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5,1,4,0.7958122574505159,E,Minor,0.5852043819569615,1.2211676682172523,1.0333160878128818,-0.2880110109960453,-0.19150181181757883,-0.898715297122148,-0.15029865615834714,1
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644.0,16,90,10,0,64,-0.4465840513275934,B,Minor,0.5852043819569615,-1.0663607989138537,0.3503733586906943,-0.9949471288954292,-0.19150181181757883,1.6858490857001807,-0.4439388080143997,0
Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1,1,18,0.40534484612025296,G,Major,0.17647960962296969,-0.6851060543920027,-1.450112018085982,0.5760220219920907,-0.19150181181757883,-0.6033365105138819,-0.7375789598704523,0
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383.0,180,90,422,15,55,0.2633566965456119,G,Major,1.6751371081809396,1.136444391656841,-0.14631226248907844,-0.3272852397682333,-0.19150181181757883,-0.898715297122148,-0.05241860553966295,2
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16,0.7958122574505159,A#,Major,1.1301707450689507,1.5600607744588977,-0.7050835863163228,0.3403766493589627,-0.19150181181757883,-0.751025903818015,-0.34605875739571557,1
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255.0,0,0,21,0,0,0.2633566965456119,B,Minor,0.10835881423397106,-0.642744416111797,1.5920874116401262,-0.9949471288954292,0.9491221184243505,-0.23411302725354927,-0.6396989092517682,1
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37,5,1,-1.0855307244134782,B,Minor,0.5170835865679628,0.1621267112121107,0.7228875745755239,-0.052365638362917286,-0.19150181181757883,-0.6033365105138819,0.43698164755375807,1
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36,1,37,-0.6240692382958947,F,Minor,-0.7772115258230112,0.246849987772522,1.4058303036977113,-1.0342213576676174,-0.0774394187933859,-0.6033365105138819,-0.6396989092517682,1
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24,0,30,1.8607233792603237,G,Minor,-0.5728491396560152,-1.5323388199961159,-0.022140857194135246,0.6545704795364667,10.074113560359786,-0.4556471172097489,-0.05241860553966295,1
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704.0,17,13,27,0,43,-0.09161367739099073,G,Minor,0.857687563512956,-0.7698293309524139,0.3503733586906943,-0.17018832467948128,-0.19150181181757883,-0.6771812071659484,-0.6396989092517682,0
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403.0,3,31,2,1,0,0.5828300330885543,D#,Minor,0.17647960962296969,1.0940827533766353,-1.0155120995536808,0.41892510690333873,-0.19150181181757883,-0.4556471172097489,-0.541818858633084,1
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142,0,27,-0.3045959017529523,A#,Major,-2.4121106151589786,-1.4476155434357045,0.5987161692805807,-0.48438215485698527,-0.19150181181757883,-0.0864236339494162,-0.7375789598704523,2
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215.0,5,9,5,0,0,0.7958122574505159,B,Minor,-0.9134531166010085,-1.3628922668752932,-1.0155120995536808,0.3796508781311507,-0.19150181181757883,1.3904702990919144,-0.541818858633084,0
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600.0,21,55,32,3,0,-1.0145366496261576,G#,Major,1.4707747220139438,0.41629654089334467,0.10203054810080794,-0.36655946854042126,-0.19150181181757883,1.316625602439848,0.5348616981724422,1
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105,0.40534484612025296,C#,Major,-1.526540275101996,-1.4476155434357045,-0.2704836677840216,-0.20946255345166928,-0.19150181181757883,1.0950915124836482,-0.6396989092517682,2
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5,0,5,-0.09161367739099073,G,Major,-0.3684867534890194,-0.8121909692326196,0.7228875745755239,-1.0342213576676174,-0.19150181181757883,1.5381596923960474,-0.6396989092517682,1
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258.0,8,77,2,1,1,0.014877434789990053,G,Minor,0.17647960962296969,1.4753374978984863,0.22620195339575114,-0.09163986713510529,-0.19150181181757883,-0.5294918138618154,-0.6396989092517682,0
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110,19,0,0.29885373393927217,A#,Major,0.6533251773459602,1.390614221338075,0.4124590613381659,0.3403766493589627,-0.19150181181757883,-0.23411302725354927,-0.6396989092517682,1
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,"5,567",1,51,1.7187352296856826,D,Major,0.17647960962296969,-1.913593564517967,0.5366304666331091,-0.9949471288954292,-0.19150181181757883,1.316625602439848,1.5136622043592842,2
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831.0,18,51,"1,005",0,0,0.2633566965456119,E,Minor,0.857687563512956,0.5433814557339617,0.7228875745755239,-0.9556729001232412,-0.19150181181757883,0.1351104560067834,-0.4439388080143997,1
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671.0,10,41,20,0,1,-1.0145366496261576,B,Major,0.9939291542909533,0.07740343465169935,0.16411625074827954,0.3011024205867747,-0.19150181181757883,-0.6771812071659484,-0.24817870677703135,0
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024.0,4,45,11,2,24,-1.1920218365944588,G,Minor,0.3808419957899656,-0.30385130987015163,-0.4567407757264364,0.49747356444771473,-0.19150181181757883,1.0212468158315817,-0.4439388080143997,0
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15,0,6,-1.2630159113817794,F,Minor,-0.16412436732202348,0.8399129236954014,-0.518826478373908,-0.8771244425788653,-0.19150181181757883,-0.23411302725354927,0.9263819006471791,0
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613.0,11,3,18,1,1,0.050374472183650314,B,Minor,0.31272120040096696,1.1788060299370466,0.8470589798704671,1.1258612248027227,-0.19150181181757883,-0.23411302725354927,1.905182406834021,0
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350.0,23,0,18,0,33,-1.5824892479247217,G#,Major,0.24460040501196834,1.2211676682172523,0.03994484545333635,0.9687643097139708,-0.19150181181757883,0.28279984931091645,2.1009425080713893,0
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432.0,190,104,147,18,63,-0.09161367739099073,G#,Major,0.17647960962296969,0.7975512854151957,0.9091446825179387,-0.7593017562623013,-0.19150181181757883,-0.012578937297349671,-0.05241860553966295,1
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276.0,8,1,13,0,0,-0.9435425748388371,F#,Minor,-1.3221778889350002,-0.04968148018891764,0.9712303851654103,0.5367477932199027,-0.19150181181757883,1.3904702990919144,0.9263819006471791,0
HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11,0,78,-0.5885722009022344,G,Major,0.3808419957899656,-1.2358073520346762,1.3437446010502399,0.18327973427021071,-0.19150181181757883,-0.4556471172097489,-0.6396989092517682,0
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5,1,2,1.6832381922920223,D,Minor,0.7214459727349588,1.009359476816224,-1.139683504848624,1.4007808262080388,-0.19150181181757883,-0.4556471172097489,2.3945826599274422,1
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503.0,16,15,5,0,1,0.40534484612025296,B,Minor,-0.02788277654402621,-1.7017853731169386,0.7228875745755239,-0.7200275274901133,5.169430660319489,0.8735574225274487,-0.34605875739571557,0
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58,-0.26909886435929203,A#,Major,0.24460040501196834,1.644784051019309,0.5366304666331091,0.1440055054980227,-0.19150181181757883,-0.5294918138618154,-0.541818858633084,2
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608.0,30,84,88,1,28,0.2633566965456119,F#,Major,0.4489627911789642,1.1788060299370466,1.4058303036977113,0.7331189370808427,-0.19150181181757883,0.8735574225274487,-0.7375789598704523,1
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46,16,117,-0.4465840513275934,G,Major,-0.5728491396560152,-1.2358073520346762,-1.6363691260283968,0.6152962507642787,-0.19150181181757883,-0.4556471172097489,-0.7375789598704523,1
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410.0,29,9,12,0,52,-0.801554425264196,A,Major,0.31272120040096696,-0.388574586430563,0.10203054810080794,-0.3272852397682333,0.26474776027919295,0.06126575935471686,-0.6396989092517682,0
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601.0,5,48,2,1,9,0.689321145269535,G,Minor,0.17647960962296969,1.0517211150964296,0.9091446825179387,-0.013091409590729287,-0.19150181181757883,-0.5294918138618154,-0.34605875739571557,0
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66,9,444,-0.23360182696563178,G,Major,1.5388955174029424,1.898953880700543,0.5366304666331091,1.4007808262080388,-0.19150181181757883,-0.6771812071659484,-0.6396989092517682,1
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306.0,37,88,9,0,14,-0.09161367739099073,A,Major,0.3808419957899656,0.5433814557339617,1.2816588984027681,-0.052365638362917286,-0.19150181181757883,3.1627430187415113,-0.7375789598704523,1
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43,8,85,-1.0855307244134782,F,Minor,0.5852043819569615,-0.2191280333097403,0.9091446825179387,0.18327973427021071,-0.19150181181757883,-0.8248706004700815,-0.4439388080143997,1
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21,0,0,-0.4465840513275934,G#,Minor,0.9258083589019547,0.5433814557339617,0.9091446825179387,-0.8378502138066773,-0.19150181181757883,0.9474021191795152,-0.7375789598704523,1
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50,0,22,-0.09161367739099073,A#,Major,0.24460040501196834,0.246849987772522,2.0266873301724275,-0.9949471288954292,-0.19150181181757883,-0.3818024205576823,0.04546144507902125,1
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144.0,52,66,55,1,16,-0.26909886435929203,F,Minor,1.8794994943479355,-0.3462129481503573,0.2882876560432227,0.8116673946252188,-0.19150181181757883,-0.6771812071659484,2.0030624574527054,1
I Love You So,The Walters,1,2014,11,28,7536,7,972164968.0,44,19,135,0,6,-1.6534833227120422,A#,Major,-0.6409699350450139,-0.2191280333097403,0.16411625074827954,1.518603512524603,-0.19150181181757883,-0.3818024205576823,-0.6396989092517682,2
Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682.0,71,53,181,0,10,1.7542322670793429,F#,Major,-0.5047283442670166,1.0940827533766353,0.8470589798704671,0.7331189370808427,-0.19150181181757883,-0.4556471172097489,-0.4439388080143997,2
Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338.0,231,37,"1,509",0,13,-0.8370514626578562,A#,Major,-1.8671442520469894,-0.26148967158994596,-0.518826478373908,1.675700427613355,-0.19150181181757883,-0.6771812071659484,-0.541818858633084,2
Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767.0,27,27,29,1,1,0.9732974444188172,G#,Minor,1.5388955174029424,0.5433814557339617,-3.126425989567715,1.597151970068979,3.800681944029174,-0.5294918138618154,-0.05241860553966295,1
